name,address,source,rating,reviews,positive_words,negative_words,prices,price,services,lat,lon
Пансионат для пожилых людей Вгармонии,"Бронницы, коттеджный посёлок Бронницы, 40",Yandex,4.4,24.0,7,1,True,1300.0,Проживание в пансионате | Уход за пожилыми постояльцами | Лечебная физическая культура | Уход за лежачими | Реабилитация после инсульта | Реабилитация после замены тазобедренного сустава,55.447349,38.255714
Времена года,"Московская область, Богородский городской округ, село Балобаново, Полевая улица",Yandex,4.5,23.0,4,1,False,,,55.837349,38.255704
Пансионат для пожилых людей ДеЛор Домодедово,"Дачная ул., 33, д. Котляково",Yandex,4.7,23.0,6,0,False,,,,
Теплые беседы,"д. Лучинское, 33",Yandex,4.5,22.0,0,0,True,2100.0,Пансионат для пожилых в подольске | Пансионат для пожилых в Подольске | Дом престарелых в подольске | Дом престарелых подольск | Дом престарелых Подольск | Пансионат для пожилых подольск | Пансионат для пожилых Подольск | Дом престарелых | Пансионат для пожилых людей в подмосковье | Пансионат для пожилых людей в Подмосковье | Дом престарелых в москве | Дом престарелых в Москве | Дом престарелых в подмосковье | Дом престарелых в Подольске | Пансионат для пожилых людей | Пансионат для пожилых людей подольск | Пансионат для пожилых людей Подольск | Уход за пожилыми с деменцией и болезнью Альцгеймера | Уход за лежачими пожилыми | Уход за самостоятельными пожилыми людьми | Частный пансионат для пожилых,56.378111,37.335212
"Опека, Пансионат Опека Красногорский","Ивановское деревня, вл1 ст3",2GIS,4.9,21.0,14,2,True,11000.0,"5-местное | 4-местное | 3-местное | 2-местное | 1-местное | 1-местное Комфорт | 1-местное ""Всё включено"" | Восстановление после инсульта | АВП для пациентов с хронической сердечной недостаточностью | АВП для пациентов с когнитивными нарушениями | Паллиативная помощь и выхаживание | Программа восстановительного лечения | Восстановление после перелома шейки бедра",55.810654,37.300893
Теплые беседы,"СНТ Гавриково, 58, Ворота открываются по звонку",Yandex,4.3,20.0,2,0,True,2100.0,Дом престарелых бутово | Дом престарелых Бутово | Пансионат для пожилых бутово | Пансионат для пожилых Бутово | Бутово пансионат для пожилых людей | Дом престарелых | Пансионат для пожилых в Бутово | Пансионат для пожилых людей Бутово | Пансионат для пожилых людей в подмосковье | Дом престарелых в москве | Дом престарелых в Москве | Дом престарелых в подмосковье | Пансионат для пожилых в бутово | Пансионат для пожилых людей | Пансионат для пожилых людей бутово | Пансионат для пожилых людей в Подмосковье | Пансионат для пожилых людей люберцы | Частный пансионат для пожилых,,
Дом престарелых Эдем,"Северная ул., 2, п. г. т. Удельная",Yandex,4.8,20.0,5,1,True,1200.0,"Размещение для самостоятельных | Размещение лежачих | Уход за лежачими в Раменском | Дом престарелых в Москве | Размещение в пансионате для престарелых Эдем для нуждающихся в помощи при передвижении, уходе и гигиене. | Уход за пожилыми людьми | Частный дом престарелых в Москве | Пансионат для пожилых в Раменском | Дом престарелых",55.635169,38.062682
Пансионат для пожилых Медик,"Трубецкая ул., 69, Балашиха",Yandex,4.3,20.0,10,0,False,,,55.836448,37.96822
Ленинский,"Видное, деревня Тарычёво, 2/13",Yandex,4.2,20.0,4,0,False,,,55.562515,37.682491
Пансионат Круг Семьи,"Дорожная ул., 13, д. Старосъяново",Yandex,4.7,18.0,9,1,False,,,,
Виктория,"Полевая ул., 2",Yandex,4.7,18.0,5,1,False,,,,
Свято-Спиридоньевская богадельня,"наб. Шитова, 4, корп. 1",Yandex,4.4,18.0,0,0,False,,,,
"Академия Долголетия, пансионат для пожилых людей","Флотская улица, 76 к2",2GIS,4.3,17.0,21,6,False,,,55.858995,37.514676
"Академия Долголетия, пансионат для пожилых людей","Новая улица, 52",2GIS,4.3,17.0,21,6,False,,,55.687162,37.369007
"Академия Долголетия, пансионат для пожилых людей","улица Коккинаки, 3",2GIS,4.3,17.0,21,6,False,,,55.804553,37.544598
"Академия Долголетия, пансионат для пожилых людей","Бирюлёвская улица, 12 к3",2GIS,4.3,17.0,21,6,True,3000.0,Медицинская перевозка,55.59896,37.657946
"Доверие, пансионат для пожилых людей","Солнечная улица, 7",2GIS,5.0,15.0,24,3,False,,,55.649699,37.427542
Оазис,"Домодедово, территория Еленино, соор1/1",Yandex,4.6,14.0,3,0,False,,,55.24262,37.857911
"Бабушки и Дедушки, пансионат для пожилых","СНТ Круиз территория, 35",2GIS,5.0,14.0,25,0,False,,,55.628288,37.459478
Долголетие,"д. Малое Видное, ТЛПХ Подлипки, 89",Yandex,4.2,12.0,8,0,True,1800.0,Пансионат для пожилых | Пансионат Видное для пожилых людей | Пансионат для пожилых | Дом престарелых | Пансионаты для пожилых в Видном | Дом престарелых | Дом престарелых | Дом престарелых | Дом престарелых | Дом престарелых в Москве | Пансионат для больных Альцгеймером | Пансионат для больных деменцией | Пансионат для пожилых Видное | Пансионат для престарелых | Пансионат для престарелых | Пансионат для пожилых | Уход за больными пожилыми | Уход за пожилым инвалидом | Уход за пожилым человеком | Уход за пожилыми | Уход за пожилыми 80 лет | Уход за пожилыми,55.574623,37.750158
Виктория,"Московская область, Раменский городской округ, посёлок Денежниково",Yandex,4.4,11.0,7,0,False,,,55.487057,36.641268
Пансион24,"Пролетарская ул., 65, село Юдино",Yandex,3.2,10.0,1,1,True,1275.0,Размещение в 6-ти местном номере | Размещение в 3-х местном номере | Размещение в 2-х местном номере | Размещение в 1-местом номере | Уход за лежачими пожилыми | Уход за пожилыми с деменцией,55.670231,37.179409
Пансионат для пожилых людей Дом Пенино,"Московская ул., 6",Yandex,4.1,10.0,4,1,False,,,,
Пансионат для пожилых МСК,"Коммунистическая ул., 129, п. г. т. Ильинский",Yandex,4.4,9.0,1,0,True,2000.0,Пансионат для пожилых,55.630873,38.120406
Любимые люди,"Планерная ул., 35, микрорайон Авиационный, Домодедово",Yandex,4.4,8.0,2,0,False,,,55.411456,37.852548
Теплые беседы,"ул. Водопьянова, 16, Ворота открываются по звонку управляющей, есть заезд для маломобильных",Yandex,4.3,8.0,4,0,True,2100.0,Пансионат для пожилых алтуфьево | Пансионат для пожилых Алтуфьево | Дом престарелых алтуфьево | Дом престарелых Алтуфьево | Алтуфьево частный пансионат для пожилых | Дом престарелых | Пансионат для пожилых людей алтуфьево | Пансионат для пожилых людей Алтуфьево | Пансионат для пожилых людей в подмосковье | Дом престарелых в москве | Дом престарелых в Москве | Дом престарелых в подмосковье | Опека пансионат для пожилых алтуфьево | Опека пансионат для пожилых Алтуфьево | Пансионат для пожилых людей | Пансионат для пожилых людей в Подмосковье | Частный пансионат для пожилых,,
Пансионат для пожилых TG-group,"Центральная ул., 9, д. Ащерино",Yandex,4.3,7.0,7,1,False,,,55.588077,37.767618
Старость и в радость,"Московская область, Ленинский городской округ, Видное, район Расторгуево",Yandex,4.1,7.0,0,0,False,,,55.543716,37.669937
Бабушки и Дедушки,"Полевая ул., 25",Yandex,4.3,6.0,2,1,False,,,,
Любушка,"Боровая ул., 1А, Дедовск",Yandex,4.3,5.0,19,0,False,,,55.868849,37.116516
"Тропарево, социальный дом","улица Островитянова, 10 ст1",2GIS,2.3,4.0,0,0,False,,,55.639874,37.501314
"Лейкомед, пансионат","2-я Дубровская улица, 13 к1",2GIS,3.1,3.0,1,0,False,,,55.727144,37.672419
"Опора, пансионат","Ярославское шоссе, 87",2GIS,5.0,3.0,12,0,False,,,55.909941,37.772814
Осень жизни,"Петровский пр., 41, район Расторгуево, Видное",Yandex,4.1,3.0,2,0,False,,,55.539617,37.664004
"Западный, геронтологический центр","улица 7-я Лазенки, 12 к1",2GIS,1.0,2.0,0,0,False,,,55.660189,37.349142
Геронтологический центр,"16-я Парковая улица, 16",2GIS,1.0,2.0,0,0,False,,,55.800957,37.830341
Геронтологический центр Западный,"Нежинская улица, 2",2GIS,1.0,2.0,0,0,False,,,55.717177,37.47357
"Северное Тушино, геронтологический центр","улица Вилиса Лациса, 2 к1",2GIS,5.0,1.0,3,0,False,,,55.86689,37.432429
"Гармония жизни, дом престарелых","улица Кандинского, 2",2GIS,1.0,1.0,0,0,False,,,55.722824,37.342347
"Доктор Лиза, дом милосердия","Новая Басманная улица, 26 к2",2GIS,0.0,0.0,0,0,False,,,55.769423,37.666036
"Забота, пансионат для пожилых людей","Марксистская улица, 34 к4",2GIS,0.0,0.0,0,0,True,2600.0,"Непрерывное внутривенное (капельное) введение лекарственных препаратов | Наблюдение врача-психиатра на постоянной основе, 2 раза в месяц | Внутривенное введение лекарственных препаратов | Подкожная инъекция | Лежачий больной. Болезнь Паркинсона | Внутримышечное введение лекарственных препаратов | Прием (выезд, осмотр, консультация) врача-психиатра первичный | Самостоятельные, способные к самообслуживанию | Прием врача терапевта первичный | Прием (осмотр, консультация) врача терапевта (профилактический, 2 раза в месяц, комплексная услуга) | Комплекс для больных диабетом (аппаратное определение уровня глюкозы в крови и подкожное введение инсулина, не более 70 процедур) | Комплекс для больных диабетом (аппаратное определение уровня глюкозы в крови и подкожное введение инсулина, не более 20 процедур) | Прием врача терапевта повторный | Прием (осмотр, консультация) врача-психиатра повторный | Уход за стомой (цистостома, колостома, уростома) | Пансионат для лежачих пожилых людей | Реабилитация и восстановление после перелома шейки бедра | Пансионат для пожилых с болезнью Альцгеймера | Пансионаты для больных после инфаркта | Уход за престарелыми людьми | Восстановление после перелома шейки бедра | Пансионаты для больных сахарным диабетом | Пансионаты для инвалидов | Пансионаты для больных Паркинсоном | Пансионаты для пожилых людей с деменцией | Пансионаты для пожилых с реабилитацией после инсульта | Лежачие и тяжелобольные | Одноместный номер в Голицыно | Двухместный номер в Голицыно | Двухместный номер в Раменском | Двухместный номер в Шереметьевском | Вместе веселее | Трехместный номер в Раменском | Одноместный номер в Шереметьевском | Трехместный номер в Голицыно | Прием (осмотр, консультация) врача терапевта – (профилактический, 2 раза в месяц, комплексная услуга) | Пансионат «Новокосино» | пансионат «Раменский» | пансионат «Алтуфьевский» в Москве . | пансионат «Голицыно» | Прием врача терапевта – первичный | пансионат в Балашихе | пансионат «Шереметьевский» | Пансионат «Шереметьевский» | Пансионат «Алтуфьевский» | дом престарелых «Голицыно» | Прием врача терапевта –повторный | Пансионат «Голицыно» | пансионат «Балашиха» | Пансионат «Раменский»",55.735349,37.66303
"Счастье, пансионат для пожилых","Столярный переулок, 18",2GIS,0.0,0.0,0,0,False,,,55.764217,37.565188
"Любавушка, пансионат","Разинское шоссе, 52",2GIS,0.0,0.0,0,0,True,2875.0,Четырёх-местное размещение | Трёх-местное размещение | Двух-местное размещение | Одно-местное размещение,55.767867,37.925316
